호선,역명,역주소
7,장암,경기도 의정부시 동일로 121 (장암동)
7,도봉산,서울특별시 도봉구 도봉로 964-40 (도봉동)
7,수락산,서울특별시 노원구 동일로 지하1662 (상계동)
7,마들,서울특별시 노원구 동일로 지하1530-1 (상계동)
7,노원,서울특별시 노원구 상계로 69-1 (상계동)
7,중계,서울특별시 노원구 동일로 지하1308-1 (중계동)
7,하계,서울특별시 노원구 동일로 지하1196 (하계동)
7,공릉,서울특별시 노원구 동일로 지하1074
7,태릉입구,서울특별시 노원구 동일로 지하992-1 (공릉동)
7,먹골,서울특별시 중랑구 동일로 지하901 (묵동)
7,중화,서울특별시 중랑구 동일로 지하797 (중화동)
7,상봉,서울특별시 중랑구 망우로 지하 297
7,면목,서울특별시 중랑구 면목로 지하407(면목동 / 면목역)
7,사가정,서울특별시 중랑구 사가정로 지하393 (면목동)
7,용마산,서울특별시 중랑구 용마산로 지하227 (면목동)
7,중곡,서울특별시 광진구 능동로 지하417 (중곡동)
7,군자,서울특별시 광진구 천호대로 지하550
7,어린이대공원,서울특별시 광진구 능동로 지하210 (화양동)
7,건대입구,서울특별시 광진구 능동로110(화양동6-3)
7,뚝섬유원지,서울특별시 광진구 능동로 10 (자양동)
7,청담,서울특별시 강남구 학동로 지하508 (청담동)
7,강남구청,서울특별시 강남구 학동로 지하346 (삼성동)
7,학동,서울특별시 강남구 학동로 지하180 (논현동)
7,논현,서울특별시 강남구 학동로 지하102(논현동)
7,반포,서울특별시 서초구 신반포로 지하241(잠원동)
7,고속터미널,서울특별시 서초구 신반포로 지하 188 (반포동)
7,내방,서울특별시 서초구 서초대로 지하103 (방배동)
7,이수,서울특별시 동작구 사당로 지하310 (사당동)
7,남성,서울특별시 동작구 사당로 지하218 (사당동)
7,숭실대입구,서울특별시 동작구 상도로 지하 378
7,상도,서울특별시 동작구 상도로 지하272 (상도1동)
7,장승배기,서울특별시 동작구 상도로 지하188 (상도동)
7,신대방삼거리,서울특별시 동작구 상도로 지하76 (대방동) 
7,보라매,서울특별시 동작구 상도로 지하2 (대방동)
7,신풍,서울특별시 영등포구 신풍로 지하27 (신길동)
7,대림,서울특별시 영등포구 도림로 지하137
7,남구로,서울특별시 구로구 도림로 지하7 (구로동)
7,가산디지털단지,서울특별시 금천구 벚꽃로 309 (가산동)
7,철산,경기도 광명시 철산로 지하13 (철산동)
7,광명사거리,경기도 광명시 오리로 지하980(광명동)
7,천왕,서울특별시 구로구 오리로 지하1154(오류동)
7,온수,서울특별시 구로구 경인로3길 지하64 (온수동)
7,까치울,경기도 부천시 길주로 626 
7,부천종합운동장,경기도 부천시 길주로 지하 502 
7,춘의,경기도 부천시 길주로 지하 406 
7,신중동,경기도 부천시 길주로 314 
7,부천시청,경기도 부천시 길주로 202 
7,상동,경기도 부천시 길주로 104 
7,삼산체육관,인천광역시 부평구 길주로 지하713 (삼산동)
7,굴포천,인천광역시 부평구 길주로 지하623 (삼산동)
7,부평구청,인천광역시 부평구 길주로 지하527(갈산동)
