역명,역주소
서울역,서울특별시 중구 세종대로 지하 2 (남대문로 5가)
시청,서울특별시 중구 세종대로 지하 101 (정동)
종각,서울특별시 종로구 종로 지하 55 (종로1가)
종로3가,서울특별시 종로구 종로 지하 129 (종로3가)
종로5가,서울특별시 종로구 종로 지하 216  (종로5가)
동대문,서울특별시 종로구 종로 지하 302 (창신동)
신설동,서울특별시 동대문구 왕산로 지하 1 (신설동)
제기동,서울특별시 동대문구 왕산로 지하 93 (제기동)
청량리,서울특별시 동대문구 왕산로 지하 205(전농동)
동묘앞,서울특별시 종로구 종로 359 (숭인동)
장암,경기도 의정부시 동일로 121 (장암동)
도봉산,서울특별시 도봉구 도봉로 964-40 (도봉동)
수락산,서울특별시 노원구 동일로 지하1662 (상계동)
마들,서울특별시 노원구 동일로 지하1530-1 (상계동)
노원,서울특별시 노원구 상계로 69-1 (상계동)
중계,서울특별시 노원구 동일로 지하1308-1 (중계동)
하계,서울특별시 노원구 동일로 지하1196 (하계동)
공릉,서울특별시 노원구 동일로 지하1074
태릉입구,서울특별시 노원구 동일로 지하992-1 (공릉동)
먹골,서울특별시 중랑구 동일로 지하901 (묵동)
중화,서울특별시 중랑구 동일로 지하797 (중화동)
상봉,서울특별시 중랑구 망우로 지하 297
면목,서울특별시 중랑구 면목로 지하407(면목동 / 면목역)
사가정,서울특별시 중랑구 사가정로 지하393 (면목동)
용마산,서울특별시 중랑구 용마산로 지하227 (면목동)
중곡,서울특별시 광진구 능동로 지하417 (중곡동)
군자,서울특별시 광진구 천호대로 지하550
어린이대공원,서울특별시 광진구 능동로 지하210 (화양동)
건대입구,서울특별시 광진구 능동로110(화양동6-3)
뚝섬유원지,서울특별시 광진구 능동로 10 (자양동)
청담,서울특별시 강남구 학동로 지하508 (청담동)
강남구청,서울특별시 강남구 학동로 지하346 (삼성동)
학동,서울특별시 강남구 학동로 지하180 (논현동)
논현,서울특별시 강남구 학동로 지하102(논현동)
반포,서울특별시 서초구 신반포로 지하241(잠원동)
고속터미널,서울특별시 서초구 신반포로 지하 188 (반포동)
내방,서울특별시 서초구 서초대로 지하103 (방배동)
이수,서울특별시 동작구 사당로 지하310 (사당동)
남성,서울특별시 동작구 사당로 지하218 (사당동)
숭실대입구,서울특별시 동작구 상도로 지하 378
상도,서울특별시 동작구 상도로 지하272 (상도1동)
장승배기,서울특별시 동작구 상도로 지하188 (상도동)
신대방삼거리,서울특별시 동작구 상도로 지하76 (대방동) 
보라매,서울특별시 동작구 상도로 지하2 (대방동)
신풍,서울특별시 영등포구 신풍로 지하27 (신길동)
대림,서울특별시 영등포구 도림로 지하137
남구로,서울특별시 구로구 도림로 지하7 (구로동)
가산디지털단지,서울특별시 금천구 벚꽃로 309 (가산동)
철산,경기도 광명시 철산로 지하13 (철산동)
광명사거리,경기도 광명시 오리로 지하980(광명동)
천왕,서울특별시 구로구 오리로 지하1154(오류동)
온수,서울특별시 구로구 경인로3길 지하64 (온수동)
까치울,경기도 부천시 길주로 626 
부천종합운동장,경기도 부천시 길주로 지하 502 
춘의,경기도 부천시 길주로 지하 406 
신중동,경기도 부천시 길주로 314 
부천시청,경기도 부천시 길주로 202 
상동,경기도 부천시 길주로 104 
삼산체육관,인천광역시 부평구 길주로 지하713 (삼산동)
굴포천,인천광역시 부평구 길주로 지하623 (삼산동)
부평구청,인천광역시 부평구 길주로 지하527(갈산동)
